Account Code,Account Name,Portal URL,Type
844YRPRC,Pearson Duty Free,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=844YRPRC,Regular
89C9QNP2,Central Ossington,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=89C9QNP2,Regular
8DQ6KBL5,Parsons Brewing Company,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=8DQ6KBL5,Regular
8VK2Y7ZD,Wander The Resort,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=8VK2Y7ZD,Regular
8VTLE5R5,The Haifa Room,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=8VTLE5R5,Regular
964BYULE,Andaz Ottawa Byward Market (Hyatt),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=964BYULE,Regular
96U6SVRB,Anice Jewlery,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=96U6SVRB,Regular
99HQ3KCN,Hawker,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=99HQ3KCN,Regular
9DHB3DSX,Alo Restaurant & Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=9DHB3DSX,Regular
9JRZBTWS,10 Dean,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=9JRZBTWS,Regular
9K0KUXPA,Boiler Room,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=9K0KUXPA,Live Nation
9M2X43S3,Granite Club,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=9M2X43S3,Regular
9U4WXY7W,Elizabeth Hospitality,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=9U4WXY7W,Regular
A2AXBGNP,Bloomfield Public House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=A2AXBGNP,Regular
A8QC6VPL,Noir Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=A8QC6VPL,Regular
AF3YMWZX,Mother Tongue / Liquid Courage,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=AF3YMWZX,Regular
AGWZU62M,Bluewater,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=AGWZU62M,Regular
ANAVKQFL,The Wine Sisters,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=ANAVKQFL,Regular
APKB7U8N,Bar Banane,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=APKB7U8N,Regular
AV86WW8P,Bar Charlotte,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=AV86WW8P,Regular
AZFBWPD3,Simpl Things,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=AZFBWPD3,Regular
AZHPKZGR,Blu Ristorante and Lounge,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=AZHPKZGR,Regular
B23MHGKP,Humber Valley Golf Course,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=B23MHGKP,Regular
B742KJHS,Sofia Yorkville,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=B742KJHS,Regular
B9BGQ4AM,Elora Mill Hotel & Spa,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=B9BGQ4AM,Regular
BDJFP2D4,Le Poisson Bleu,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BDJFP2D4,Regular
BDYPHKWJ,Antler,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BDYPHKWJ,Regular
BEN76PC6,Paris Texas,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BEN76PC6,Regular
BEZN25BN,Everyside,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BEZN25BN,Regular
BJV23SDZ,Red House Downtown,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BJV23SDZ,Regular
BL8ELU93,Local Public Eatery (Adelaide),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BL8ELU93,Regular
BLGX9CZ7,FIRST Insurance Funding of Canada,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BLGX9CZ7,Regular
BY87T8JS,Six Thirty Nine,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BY87T8JS,Regular
BY9FJNL9,Crossroads Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BY9FJNL9,Regular
BYNFTYZC,Ojibiway Club,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=BYNFTYZC,Regular
C2HJFYDV,Fawn Over Market,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=C2HJFYDV,Regular
C3AD3EZM,Liberty Soho,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=C3AD3EZM,Regular
C9CR3D93,Vagabondo Restobar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=C9CR3D93,Regular
CFJDKFG2,Ritz Carlton,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=CFJDKFG2,Regular
CJC8ZXWJ,Marilynne Food Co. Ltd,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=CJC8ZXWJ,Regular
CTSLRV4P,Massey Hall,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=CTSLRV4P,Regular
CXME5EPH,Mayla Concept / Le Jardin,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=CXME5EPH,Regular
CYBJQ6MF,Gloria in the Great Hall,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=CYBJQ6MF,Regular
DBP6LAQJ,Le Swan,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DBP6LAQJ,Regular
DEN6NLNT,Rhapsody,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DEN6NLNT,Regular
DGVG6Z6R,East India Company,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DGVG6Z6R,Regular
DHE5DJ9A,Jackson Falls Country Inn,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DHE5DJ9A,Regular
DQJS44CY,Lisbon Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DQJS44CY,Regular
DTUXJR29,Brigadoon Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DTUXJR29,Regular
DX8KTWAV,The Yardbird,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=DX8KTWAV,Regular
E92N5CTE,Animl Steakhouse,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=E92N5CTE,Regular
EFNE8ML6,Vic Social,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=EFNE8ML6,Regular
EH3PJQ97,Hammerhead's Seafood Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=EH3PJQ97,Regular
ELST5DK8,Bar Piquette,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=ELST5DK8,Regular
EPTXVWQ3,Archives Wine & Spirit Merchants,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=EPTXVWQ3,Regular
F32L64Y5,Gladstone Commons,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=F32L64Y5,Regular
F96TUJH5,TasteEx,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=F96TUJH5,Regular
FDQA3PLT,Atomica,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FDQA3PLT,Regular
FDWYJ2NM,Rapscallion & Co.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FDWYJ2NM,Regular
FGLL3G62,The Comrade,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FGLL3G62,Regular
FMPH8AXB,Hamptons Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FMPH8AXB,Regular
FN4WVL3L,Petros82 (Adelaide),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=FN4WVL3L,Regular
